stage,region,school,team,games,wins,win_rate,base_damage_total,base_damage_per_game,base_17_share,base_42_share,base_dart_share,base_damage_game_rate,median_first_base_hit_s,base_damage_received_per_game,outpost_damage_per_game,shots_per_game,hero_shots_per_game,infantry_shots_per_game,sentry_shots_per_game,enemy_half_rate,deep_rate,early_enemy_half_rate,mean_x,distance_per_game_m,sentry_mean_x,hero_mean_x,engineer_mean_x,terrain_status,terrain_game_rate,terrain_games,terrain_runs,terrain_seconds_per_game,terrain_roles,style
复活赛,南部赛区,华中科技大学,狼牙,14,7,0.5,3029.0,216.35714285714286,0.00957411687025421,0.06602839220864971,0.924397490921096,0.7142857142857143,270.0,439.0,1495.0,1046.5,21.428571428571427,289.2142857142857,60.357142857142854,0.13867293955649904,0.005966895206402938,0.03644797879390325,9.751468171777733,841.4449989779587,7.688730821684285,8.640883510092355,10.697747098976139,中央高地已观察,1.0,14,480,250.0,英雄、工程、步兵3、步兵4,稳守反击
复活赛,南部赛区,南华大学,MA,19,10,0.5263157894736842,4430.0,233.1578947368421,0.6049661399548533,0.2144469525959368,0.18058690744920994,0.631578947368421,196.5,493.10526315789474,1453.6842105263158,1341.3157894736842,22.63157894736842,338.7894736842105,484.3157894736842,0.1677267523215876,0.01850909553491922,0.08862760596778975,10.027668426408837,858.9143667859536,6.419452741381503,10.166365055387693,10.485914931212923,中央高地已观察,1.0,19,627,242.68421052631578,英雄、工程、步兵3、步兵4,稳守反击
复活赛,南部赛区,厦门大学嘉庚学院,TCR,13,6,0.46153846153846156,5292.0,407.0769230769231,0.8488284202569917,0.07558578987150416,0.07558578987150416,0.6153846153846154,310.5,422.6923076923077,1500.0,877.4615384615385,18.53846153846154,418.61538461538464,118.76923076923077,0.2707041561790165,0.06857388421634232,0.22369546621043626,10.386596138498398,1028.1789251377,7.407670097408573,8.025226345765189,8.938655761808477,中央高地已观察,1.0,13,284,155.23076923076923,英雄、工程、步兵4,多兵种深压、重前哨压制
复活赛,南部赛区,深圳技术大学,悍匠,15,8,0.5333333333333333,1949.0,129.93333333333334,0.07644946126218574,0.20523345305284763,0.7183170856849667,0.6,165.0,841.3333333333334,1430.6666666666667,1091.6,10.8,205.86666666666667,174.13333333333333,0.2177285469341099,0.012573823585444847,0.15844284651624102,10.205401273712056,877.3841739457899,7.79407971729124,11.918678548177061,9.193379986919563,中央高地已观察,1.0,15,301,149.2,英雄、工程、步兵3、步兵4、哨兵,均衡/样本不足
复活赛,东部赛区,江南大学霞客湾校区,SHARK,21,11,0.5238095238095238,900.0,42.857142857142854,0.0,0.6666666666666666,0.3333333333333333,0.23809523809523808,220.0,138.0952380952381,1490.6190476190477,1008.9047619047619,22.333333333333332,358.0,95.61904761904762,0.17727967396841568,0.010266859986676594,0.12498867035257863,10.038023649046215,1095.6323327764885,7.526235302254765,9.658121543188766,8.58431678082191,中央高地已观察,1.0,21,789,272.4761904761905,英雄、工程、步兵3、步兵4,均衡/样本不足
复活赛,东部赛区,南方科技大学,ARTINX,19,9,0.47368421052631576,14817.0,779.8421052631579,1.0,0.0,0.0,0.3157894736842105,315.0,154.47368421052633,1457.3684210526317,1078.4736842105262,18.842105263157894,422.63157894736844,378.05263157894734,0.14433178039645564,0.046702292865625286,0.04429102496016994,9.297103064766675,764.8812819756407,7.399806337135615,6.096667135370076,9.612589061854283,中央高地已观察,1.0,19,675,302.5263157894737,工程、步兵3、步兵4、哨兵,稳守反击、高地转点活跃、17mm持续磨基
复活赛,东部赛区,南京航空航天大学金城学院,Born of Fire,15,9,0.6,5240.0,349.3333333333333,0.6183206106870229,0.3816793893129771,0.0,0.26666666666666666,361.0,33.333333333333336,1494.6666666666667,879.2666666666667,7.8,252.86666666666667,12.333333333333334,0.2780848664851635,0.05299342738497924,0.16626536560638702,10.60415306767871,1050.8330731692251,5.251246173469406,11.845463143254532,8.809415119363399,中央高地已观察,1.0,15,549,348.0,英雄、工程、步兵3、步兵4,多兵种深压、高地转点活跃
复活赛,东部赛区,太原科技大学,NewMaker,18,10,0.5555555555555556,3795.0,210.83333333333334,0.782608695652174,0.05928853754940711,0.15810276679841898,0.5555555555555556,307.0,291.55555555555554,1436.6666666666667,1221.5,10.722222222222221,378.77777777777777,256.1111111111111,0.21892112315041362,0.052592333682861474,0.20542005420054202,10.190681090527741,856.6436064740014,7.8799618037135275,6.199099283520983,10.447554330285074,中央高地已观察,1.0,18,395,165.88888888888889,工程、步兵3、步兵4,均衡/样本不足
复活赛,东部赛区,中国科学技术大学,RoboWalker,13,9,0.6923076923076923,3075.0,236.53846153846155,0.7869918699186992,0.1951219512195122,0.01788617886178862,0.23076923076923078,325.0,173.84615384615384,1500.0,942.6923076923077,15.846153846153847,216.30769230769232,26.0,0.18195006018704282,0.023457514120806197,0.10803840091703683,10.354191487391484,908.6798501743598,10.98628138847857,10.231456301747928,8.746537664260634,中央高地已观察,1.0,13,422,276.7692307692308,英雄、工程、步兵3、步兵4、哨兵,哨兵前压、重前哨压制、高地转点活跃
复活赛,东部赛区,中国矿业大学,CUBOT,16,8,0.5,390.0,24.375,0.6153846153846154,0.38461538461538464,0.0,0.125,412.5,719.375,1273.125,964.75,14.0625,285.1875,78.8125,0.08394290358630499,0.013207355481052525,0.06169786883315672,7.769566112973736,821.1164533368492,7.580559301625551,3.8770331185373834,6.966868172976193,中央高地已观察,0.9375,15,326,156.625,工程、步兵3、步兵4、哨兵,稳守反击
复活赛,北部赛区,山东理工大学,齐奇,17,9,0.5294117647058824,4268.0,251.05882352941177,0.8359887535145267,0.07029053420805999,0.09372071227741331,0.35294117647058826,296.5,284.94117647058823,1424.4117647058824,1204.6470588235295,9.058823529411764,453.3529411764706,284.52941176470586,0.2726877565805361,0.06133784110118329,0.22017524151875983,11.632388553489521,959.1947357001527,9.797634844868734,9.723947531298334,9.332131956912052,中央高地已观察,1.0,17,635,262.05882352941177,英雄、工程、步兵3、步兵4,多兵种深压、哨兵前压
复活赛,北部赛区,沈阳理工大学,Ambition,17,9,0.5294117647058824,9780.0,575.2941176470588,0.871676891615542,0.046012269938650305,0.08231083844580778,0.5882352941176471,283.5,446.47058823529414,1544.1176470588234,1153.9411764705883,6.764705882352941,503.0,55.470588235294116,0.3536393209311782,0.05161634644708753,0.315042573320719,10.864526507065044,987.4799423211255,5.428890851233106,11.897807205178713,7.815400648132379,中央高地已观察,0.9411764705882353,16,449,195.76470588235293,英雄、工程、步兵3、步兵4,中线前压、重前哨压制、17mm持续磨基
复活赛,北部赛区,西安电子科技大学,IRobot,13,9,0.6923076923076923,7010.0,539.2307692307693,0.7218259629101283,0.2781740370898716,0.0,0.3076923076923077,200.5,169.6153846153846,1500.0,1272.8461538461538,16.615384615384617,287.15384615384613,287.53846153846155,0.20182670794127563,0.020749685843013455,0.1363960622057355,9.488906396542756,786.3389207912478,7.736837589564583,5.307370186106496,8.276133725202044,中央高地已观察,1.0,13,334,274.15384615384613,工程、步兵3、步兵4,重前哨压制、17mm持续磨基
复活赛,北部赛区,应急管理大学,风暴,14,8,0.5714285714285714,10350.0,739.2857142857143,0.5893719806763285,0.4057971014492754,0.004830917874396135,0.5714285714285714,278.0,562.4285714285714,1500.0,1125.2142857142858,28.642857142857142,299.2857142857143,90.92857142857143,0.2371410629674031,0.028800593708968432,0.18352909770421783,10.088624079465566,911.9460091812431,8.672004964053404,5.8445658478335005,9.99951841118312,中央高地已观察,1.0,14,462,224.85714285714286,工程、步兵3、步兵4、哨兵,重前哨压制、17mm持续磨基
